OPERACIÓN MÉCANICA,TOP BOY,AGILITY,AGILITY RS,AGILITY CITY 150,BET & WIN,ACTIV,"SPIKE
",AGILITY RS  NAKED  ,SUPER 8,GACELA,CRUCERO             x-town 300,ROCKET,FLY 125,TWIST,JETIX,UNI-K 110,TRACK,PULSAR 135,Perseo,PULSAR,PULSAR 180 UG,PULSAR 150  ,THOR 160,PULSAR 200  ,PULSAR 150 NS ,PULSAR 150 AS,PULSAR 200 AS ,PULSAR 200 NS ,TITAN,PULSAR  RS 200,PULSAR 220,AVENGER 220,XCD ,DISCOVER 100,DISCOVER 135,"
BOXER",LEXUS,DISCOVER 100 5S,DISCOVER 150,CHAMPION,DISCOVER 125 ST,"
BOXER BM 100",BOXER BM 150,BOXER BM 100 ES ,PLATINO 125,PLATINO 125 - 5S,"
 PLATINO 100",PLATINO 110,FAMILLY,"MOTOCARRO
4T",TORITO,"MOTOCARRO
DIESEL"," KAZE
MAX II",ZX 130- MAGIC II,KMX,KLX 150,KLX150  L,KLX 250,NINJA 250,NINJA 250 FI,Z250,Z250 SL,ER-6n,TRANS-SPORT,MRX 150,FURAX,BOMBER 125,BOMBER 250,COMBAT 125,ZS,LIFE,HUNTER,BLACK,VENOM 400,VENOM 250,ONE,FLOW,ADVANCE II LF,ZONTES 155,ZONTES 310M,SHOCK,TNT150i,180S,TNT25N,LEONCINO 500,LEONCINO 250,TRK 500X,TRK 251,302 S
CAMBIO SILLON TRASERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO BRAZO AUXILIAR DELANTERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO EJE BRAZO AUXILIAR DELANTERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO RODAMIENTOS DE AGUJA BRAZO AUXILAR DELANTERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO AMORTIGUADOR DELANTERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO HERRAJE CARPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CARPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPERMEABILIZADA DE PARABRISAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECARGA AMBAS SUSPENSIONES CON BUJE,,,1,1,1,1,1,1,,,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1.3,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,,1,,1,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CONJUNTO RUEDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO LLANTA DELANTERA O NEUMÁTICO,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
CAMBIO LLANTA TRASERA O NEUMÁTICO (C/U),0.8,1.0,1.0,1.0,1.3,0.8,0.8,1.0,1,1,1.3,1,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.8,1,1,1.3,1.3,0.7,0.8,0.8,0.8,0.8,0.8,1.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
CAMBIO PIÑÓN O SENSOR VELOCÍMETRO ,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,,0.4,0.3,,,,0.3,0.3,0.3,0.3,0.3,0.5,0.4,,0.4,0.3,0.6,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.5,0.3,0.5,0.3,0.3
CAMBIO CAJA DE PIÑONES DE VELOCIMETRO,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,,0.5,0.3,0.3,0.3,0.3,,0.3,,,,,0.5,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,,0.3,0.3,,,,,,,,
CAMBIO RODAMIENTO RUEDA TRASERA,,,,,,0.7,0.7,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.7,,,,,0.7,0.7,0.7,0.7,0.7,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CAMBIO RODAMIENTO PORTA SPROCKET,,,,,,0.5,0.5,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.4,0.5,,,,,0.5,0.5,0.5,0.5,0.5,0.4,,,0.5,0.5,0.5,,,,,0.7,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CAMBIO RODAMIENTO RUEDA DELANTERA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.7,1.7,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0´5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CAMBIO EJE DELANTERO,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CAMBIO EJE TRASERO,2,2,2,2,2.5,0.2,0.2,2,2,2,2.5,2,2,2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,2,,,2.5,0.2,0.2,0.2,0.2,0.2,0.2,2.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CAMBIO RIN DELANTERO,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,1,1,1.0,1,1.0,1.0,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1.0,1,1.0,1.0,1.0,0.6,0.6,1,1,1,1,0.6,0.6,0.6,1.0,1.0,1.0,1,1,0.6,0.6,0.6,,0.6,0.6,0.6,0.6,0.6,1.0,1,1.0,1,1.0,,0.6,,0.6,1,0.6,1,1,1,1,1.5,1,0.6,0.6,0.6,1,1,0.6,1,1,1,1.0,1,1.0,1,1
CAMBIO DE RIN TRASERO,2.5,1.5,1.5,1.5,1.5,0.8,0.8,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.3,0.8,0.8,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.8,0.8,1.3,1.3,1.3,1.3,0.8,0.8,0.8,1.3,1.3,1.3,1.3,1.3,1,1,,2.5,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,1,1.5,0.8,0.8,2.5,0.8,1,0.8,1.6,1,1.5,1.5,1.5,1.3,0.8,0.8,0.8,1.2,1.5,0.8,1.2,1.2,1.2,1.5,1.2,1.5,1.2,1.5
ACODALADA DE RIN DELANTERO O TRASERO,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1.5,1,1,1,,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.6,0.6,0.6,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,1.5,1.5,1.5,1.5,0.6,1.5,1.5,1.5,1.5,1.5,,,1.5,,,,,,,,,,,,,
CAMBIO CAMPANA DELANTERA O TRASERA,,,,,,0.6,0.6,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.8,,,,0.6,0.6,,,,,0.6,,,,,,,,0.5,0.5,,2.5,0.6,0.6,0.6,0.6,0.6,,,,,,0.6,0.6,2.5,0.6,0.6,0.6,,,,,,,0.6,,,,,,,,,,,,,
SISTEMA DE FRENOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO PEDAL FRENO TRASERO,,,,,,1,1,,,,,,,,1,1,1,0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.8,0.08,0.5,0.8,0.8,0.8,0.3,0.3,0.3,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.3,0.3,,1,1,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,1,0.3,0.5,0.8,0.6,0.8,,,,,0.5,0.5,1,1,1,0.5,,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CAMBIO DE MANGUERA DE FRENO DELANTERO,1.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,1.5,1.5,1,,1.5,,,,1.5,,1.5,,,,,,,,,1,1,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,,1.5,,0.5,0.6,0.5,1.5,1.5,2,2,1,1.5,1.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,2,1.5,2,1.5,1.5
CAMBIO BANDAS O PASTILLAS DE FRENO DELANTERAS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
CAMBIO BANDAS O PASTILLAS DE FRENO TRASERAS,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1,1,0.5,1,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CAMBIO DE DISCO DELANTERO,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,0.6,,,,0.6,,0.6,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.2,,0.6,0.6,0.5,0.8,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.2,0.6,1.2,0.6,0.6
CAMBIO DE DISCO TRASERO,,,,0.5,1.3,,0.8,|,,,1.3,,,,0.8,,,,,,,,,0.8,,,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,0.8,,,0.6,,,1.3,1.3,1.3,0.7,0.8,,,,0.9,2,,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.8
CAMBIO PORTABANDAS DELANTERO,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,,0.6,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.5,1.5,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE PORTABANDAS TRASERO ,0.8,1.5,1.5,,,0.6,0.6,1.5,1.5,1.5,,1.5,1.5,1.5,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,0.6,0.6,,,,,,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.5,1.5,,0.7,0.6,,,,,,,,,,0.7,,0.7,0.6,,0.6,1.5,,,,,,0.6,0.6,0.6,,,0.6,,,,,,,,
CAMBIO DE TUBERIA DE FRENO TRASERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE MANGUERA DE FRENO TRASERO,,,,2.0,2.0,,1.5,,,,,,,,1.5,,,,,,,,,1.5,,,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,1.5,,,0.6,,,1,2.5,2.5,1,1.5,,,,1.5,2.5,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO O REPARACIÓN BOMBA DE FRENO C/U,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,1.5,,1.5,,,,,,,,,2.5,2.5,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,1.5,1.5,,0.6,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO O REPARACIÓN BOMBA DE FRENO C/U,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,1.5,,1.5,,,,,,,,,1,1,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,1.5,1.5,0.5,0.6,0.5,1.5,1.5,1.5,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
MANTENIMIENTO CALIPER,,,0.3,,,,,0.3,0.3,0.3,1.5,0.3,0.3,0.3,,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,,,,,,,0.7,,0.7,,,,,,,,,,,,,,,,,0.6,,0.6,0.6,0.6,,,0.5,,0.5,1,0.5,0.3,0.3,1,1.5,0.7,0.6,,1.0,1.0,0.6,1.5,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
CONJUNTO MANUBRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO LEVAS FRENO Y/O CLUTCH,0.5,0.5,0.5,0.5,1.0,0.7,0.7,0.5,0.5,0.5,1,0.5,0.5,0.5,0.7,0.7,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,,1.5,0.7,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.5,0.3,0.5,0.3,0.2,0.3,0.5,0.5,1,1,0.3,0.3,0.4,0.7,0.7,0.3,1,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CAMBIO MANUBRIO/CADA UNO,1.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5,1,0.6,0.6,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,,1.5,1.5,1,1,1,1,1,1,1,1,1,1.5,1,1,1,0.5,1,1.5,1.5,2,2,0.7,0.6,1,1.5,1.5,1,2,1.5,1,1,1,1,1,1,1,1
CAMBIO SOPORTE LEVAS C/U,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CAMBIO ABRAZADERAS DE  MANUBRIO,,,,,,,,,,,,,,,,,0.3,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.1,0.3,,,,,0.3,0.5,0.3,,,0.3,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CAMBIO DE BASE DE MANUBRIO,,,,,,,,,,,,,,,,,1,0.3,0.3,1,0.3,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,,1,1,1,1,1,,1,1,1,0.6,1,,,,,0.5,1,,,,1,,,1,1,1,0.8,1,0.8,1,1
CAMBIO ESPEJOS C/U,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SISTEMA COMBUSTIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO GRIFO DE GASOLINA,1,1.3,1.3,1.3,,1.2,1.2,1.3,1,1,1.2,1.3,1.3,1.3,1.2,1.2,1.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.1,1.1,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,,1,1.2,0.8,0.8,0.8,,,,,,,1,0.8,0.8,1,,1,1,1.3,,1.2,,0.8,1.2,1.2,1.2,,,1.2,,,,,,,,
CAMBIO Y/O REPARACIÓN DE TANQUE COMBUSTIBLE,1.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1.2,1.2,1.2,1.5,1.5,1.2,1.5,1.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,,1.5,1.5,1,1,1,1,1.5,1.5,1.3,1.3,1.3,1.5,1,1,1,0.3,1,1.5,1.5,1,2.5,1,1.2,1.5,1.0,1.0,1.3,5,1.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
CAMBIO Y/O REVISIÓN DE SENSOR DE NIVEL DE GASOLINA DEL TANQUE,0.5,0.5,0.5,0.5,2.0,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1.2,1.2,1.2,1.5,1.5,1.2,1.5,1.7,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,0.8,1.0,,,,1.5,1.5,1.5,1.3,1.3,1.3,0.8,1,,1.3,1,1.3,0.5,0.5,1,2,0.7,1.2,0.5,0.5,0.5,1.3,2,0.5,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
CAMBIO TAPA GASOLINA,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,,0.3,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.1,0.1,0.1,0.3,0.2,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CAMBIO Y/O REPARACION DE BOMBA DE GASOLINA,,,,,1,,0.8,,,,,,,,,,,,,,,,,,,,,,1.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,1.3,1.3,1.3,1.3,,,,,1,,,,1.5,,0.8,,,,,1.3,2,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
CAMBIO DE CONDUCTOS DE GASOLINA,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.5,0.5,0.2,0.5,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,,0.6,0.5,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.1,0.1,0.3,0.3,0.3,0.5,0.5,1.1,1,0.5,0.2,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CUBIERTAS Y ACCESORIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
